一 屋 一 橼 ， 一 粥 一 饭 ， 檀 樾 膏 脂 ， 行 人 血 汗 。	=>	一 时 一 日 ， 一 月 一 年 ， 流 光 易 渡 ， 幻 影 非 坚 。
一 心 读 遍 圣 贤 书 ， 三 心 二 意 无 益 处 ， 四 书 五 经 励 我 志 。	=>	五 洲 四 海 任 我 游 ， 三 堂 二 课 皆 用 功 ， 一 生 前 程 始 于 此 。
一瓦一椽，一粥一饭，檀那脂膏，行人血汗，尔戒不持，尔事不办，可惧可忧，可嗟可叹	=>	一时一日，一月一年，流光易度，幻影匪坚，凡心未了，圣果未圆，可惊可怖，可悲可怜
七十八年巨手挽长缨笑看江河横空苍龙舞何须问工农世界谁开辟非同志横眉不壮神州江山风云气	=>	二十世纪荡胸装天下跨走环球欧亚经纬国不用算齐天功业付谁名是战士溅血扶创中华马列春秋史
三尺剑，万言书，美雨欧风志不磨，天地有正气，豪杰自牢笼，数十年季子舌锋，效庄生索笔；	=>	五丈原，一抔土，卧龙跃马今何在，冠盖满京华，斯人独憔悴，洒几点苌弘血泪，向屈子招魂。
下巨鹿十余壁，楚兵常冠诸侯，算五年开府钱塘，风鹤不惊，史称周亚夫将军，如是如是	=>	图云台廿八人，安阳独尊儒术，把一卷征南左癖，江山坐啸，天靳郭令公寿考，已而已而
不爱财，不爱酒，不爱妇人，是个老头陀，只因眉宇间带两字英雄，担搁了五百年入山正果	=>	又要忠，又要孝，又要风流，好场大冤孽，若非胞胎里有三分痴钝，险些做十八滩顺水行舟
与我公别几许时，忽警电飞来，忍不携二十年刎头交，同赴泉台，漫引将去楚孤臣，箫声呜咽	=>	近至尊刚十余日，被群阴构死，甘永抛四百兆为奴种，长埋地狱，只留得扶桑三杰，剑气摩空
乘桴过斗六门边，瘴雨蛮烟，不辞劳苦，立功在绝徼，盖视傅郑尤难，伟矣半载经营，尽辟天南生熟地；	=>	回头思廿七年事，敝车羸马，时相过从，同谱若弟兄，遂订朱陈之好，伤哉一朝永诀，未完吴下唱酬篇。
乙巳以来，辛亥以来，癸丑以来，拓开手段十年做过去，幸皆有色有声，东篱正是著花时，容我欢呼万岁	=>	国庆纪念，地方纪念，立校纪念，缩小范围三者此独存，为告吾师吾友，北极不须回首望，且然快活两天
二十举乡，三十登第，四十还朝，五十出守，六十开府，七十归田，须知此后逍遥，一代福人多暇日	=>	简如格言，详如随笔，博如旁证，精如选学，巧如联话，富如诗集，略数平生著述，千秋大业擅名山
二十年艰难事业，即将彻底完成，忍看功绩辉煌，英名永垂，一世忠贞，是共产党人好榜样；	=>	千万里破碎河山，正待从头收拾，孰料血花飞溅，为国牺牲，满腔悲愤，为中华民族掉英雄。
五十年经史罗胸，也喜饮酒，也喜看花，开平丧乱，饱经过百事无成，只诗卷长留天地；	=>	八十载光阴弹指，不愿升仙，不愿作佛，宝贵功名，如梦灯一端最好，有书香付与儿孙。
人 到 八 月 秋 心 在 秋 八 月 月 圆 中 秋 心 圆 月 何 月 唱 秋 歌 。	=>	花 在 草 丛 中 月 似 花 影 间 人 盈 草 丛 花 香 月 酒 醉 众 论 友 。
人天阔别，兵符催我泪痕多，才七日回帆，便鄂渚凄凉风雨，助成万众悲声，此局难支，憾我同时偏后死；	=>	江汉肃清，捷报飞来心事了，忆十年杀贼，为国家整顿乾坤，呕尽一腔热血，抚躬无愧，知公含笑见先皇。
人心厌乱久矣烽燧初停节麾远至对此千疮百孔方期补救无难何意莫展宏猷获疾肝癌终不起	=>	先生之功伟哉首介革命创造共和抱定三民五权到底力行弗懈虽未全偿夙志大名宇宙已昭垂
今试思世变何如哉，横流沧海，频起大风波，河山带砺是谁家，愿诸生尝胆卧薪，每饭不忘天下事	=>	士多为境遇所累耳，咬得菜根，才算奇男子，将相王侯守有种，看前哲断齑画粥，读书全靠秀才时
从吾浙挂席而来，历四百里津粱亭堠，到此名区，阊阎殷富，水乡清嘉，开拓心胸知几许；	=>	登斯堂举杯相属，合十一郡文物衣冠，成兹良会，襟上酒痕，袖中诗本，流连风景意云何。
仗剑从云作干城，忠心不易，军声在淮海，遗爱在江南，万庶尽衔哀，回望大好山河，永离赤县	=>	挥戈抗日接尊俎，豪气犹存，无愧于平生，有功于天下，九泉应含笑，伫看重新世界，遍树红旗
仗剑从云，作千诚忠心不易。军声在涯海，遗爱在江南，万庶尽含哀，四望大好山河，永离赤县	=>	挥戈挽日，结尊俎豪气犹存。无愧于平生，有功于天下，九泉应含笑，伫见重新世界，遍树红旗
以同德同心同情同志并誓同患难，生死相期，卅六年如一日，谁知垂老分飞，事业未终难瞑目；	=>	舍爱儿爱女爱婿爱孙及所爱屋乌，教养诸孤，千百人将何依，那堪环境变异，触观无物不伤心。
以宽厚孚民望，以忠诚结主知，敬宾朋，体僚属，教育英才，二十年节钺尊严，未改书生面目	=>	为畿辅急粮储，为东南兴水利，拯灾黎，化枭徒，恤慈孤幼，数千里帡幪荫庇，何殊菩萨心肠
以身许国不及私，力疾而衡文，从容而坐化，岂真仙乎非死，死固乐矣生奈何，妻也子也弗在侧	=>	惟我相从为有素，因缘则翰墨，恩谊则弟兄，可怜病望其来，来未几时君又逝，医耶药耶咎伊谁
以迹阻承教未能，太公竟道山归去，三晋白云，二分明月，觉今夕满目凄凉，瞬驰千里；	=>	展讣音泪痕犹漾，孝子之哀思如闻，四年劬劳，百日承欢，愿及时植身建树，告慰重泉。
仰惊六宇宽，变成几多雨、几多露、几多雪、几多风和雷，时出时入、时往时来，多少神奇谁镇住；	=>	俯视众山小，看破一个嵩、一个衡、一个恒、一个泰与华，自西自东、自南自北，个中底蕴此平分。
仰惊六宇宽，变成几多雨，几多露，几多雪，几多风和雷，时出时入，时往时来，多少神奇谁镇住	=>	俯视众山小，看破一个嵩，一个衡，一个恒，一个泰与华，自西自东，自南自北，个中底蕴此平分
何 时 黄 鹤 重 来 ， 且 自 把 金 樽 ， 看 洲 渚 千 年 芳 草 。	=>	今 日 白 云 尚 在 ， 问 谁 吹 玉 笛 ， 落 江 城 五 月 梅 花 。
使项城先我公亡，则无洪宪，或我公先项城亡，亦无共和，稍缓须臾，洪宪不生，我公不死	=>	缺英雄为中国哭，故盼伟人，救中国为英雄哭，又盼改制，都辜愿望，伟人之陨，中国之衰
使项城先我公亡，则无洪宪，或我公先项城亡，亦无共和，稍缓须臾，洪宪不生，我公不死；	=>	缺英雄为中国哭，故盼伟人，救中国为英雄哭，又盼改制，都辜愿望，伟人之陨，中国之衰。
