好山一窗足	佳景四时宜
千峰凭栏立	九曲抱城来
还家万里梦	为客五更秋
鹤舞千年树	虹飞百尺桥
秋水才深四五尺	野航恰受二三人
四面八方传捷报	千家万户浴春晖
一径飞红雨	千秋散绿阴
青山横北郭	白水绕东城
碧通一径晴烟润	翠涌千峰宿雨收
两个黄鹂鸣翠柳	一行白鹭上青天
乱石吞落日	平畴交运风
鸡鸣茅店月	人迹板桥霜
五更鼓角声悲壮	三峡星河勤动摇
开卷古今千万事	杜门清浊两三杯
大烹以养	小住为佳
红梅传喜讯	绿柳舞东风
万里河山披锦绣	千秋功业耀光华
七宝栏杆千岁石	九州烟景四时花
生为人杰	死作鬼雄
有山皆图画	无水不文章
新松恨不高千尺	恶竹应须斩万竿
青山有幸埋忠骨	白铁无辜铸佞臣
星垂平野阔	月涌大江流
浓翠万重当栏出	清光一片抱城来
凭将梅柳无双管	吹向江山第一楼
野火烧不尽	春风吹又生
江流石不转	云在意俱迟
风和日丽	人勤地丰
三星在户	五业其昌
百事皆乐	万象更新
民生有幸	国运无疆
云霞呈秀	梅柳生辉
门迎百福	户纳千祥
天开化宇	人在春台
金莺报喜	玉燕迎春
阳光凝大地	春色入人家
年丰人益寿	春早福盈门
迎春接福日	足食丰衣年
江山千古秀	祖国万年春
人随春意泰	事共壮怀成
勤劳能致富	和睦可生财
同修富裕路	共建文明村
山河添秀色	大地沐春晖
好景年年好	新春岁岁新
政通千家福	人和万户春
太平真福贵	春色大文章
春晖盈大地	正气满乾坤
淑气芝兰茂	春风桃李香
三阳临吉地	五福萃华门
国登强盛境	人过富裕年
春明有富贵	风静全家安
花随春意发	福从好运来
庆新春肇事	祝大业终成
人民歌永泰	祖国庆长春
一年春作首	百事德为先
半年飞瑞雪	好景舞春风
岁月随人好	山河照眼明
万里春光美	九州瑞气浓
祖国春如海	人民力胜天
梅花开五福	竹叶报三多
年年歌大有	岁岁颂新康
新风开盛世	春色壮神州
红点桃花嫩	青描柳色新
天开新岁月	人改旧乾坤
四海春光好	九州气象新
人民歌大治	祖国庆长安
党指通天路	民怀报国心
神州臻百福	盛世集千祥
风和催四化	政通喜千家
玉堂浮瑞气	金室耀祥光
共祝升平日	同沾大有年
事业随春长	风光逐日新
普天开景运	大地沐春晖
跨峥嵘岁月	奔锦绣前程
龙飞欣晓日	马到庆丰功
日月光天德	云霞拥地灵
有年皆丽日	无处不春风
云霞出海曙	梅柳渡江春
春风舒冻柳	瑞雪兆丰年
和光生柳叶	春色泛桃花
风助飞雪舞	诗伴落梅吟
青山多画意	春雨润诗情
吟竹诗含翠	画梅笔带香
华文春日丽	瑞色紫云高
神州春浩荡	寰海日光华
普天开远景	大地焕新风
云霞成异彩	梅柳动春风
瑞雪娇梅袅柳	新春美酒佳联
户户金花报喜	家家紫燕迎春
祖国河山似锦	神州大地皆春
四海旌旗映日	五湖战鼓催春
国富星辰耀彩	政清日月生辉
天时地利人和	虎跃龙腾鹏展
风展红旗似画	春来绿水如蓝
祖国山青水秀	中华人杰地灵
年丰人寿福满	柳绿花香春浓
梅报九州春色	旗开一代风流
国富民强盛世	花香日暖新春
傲骨高风亮节	红梅翠竹青松
岁岁三春得意	年年万事开心
冬去山明水秀	春来鸟语花香
喜报英雄门第	春归光荣人家
祖国山河壮美	神州春意盎然
物阜国强民富	天时地利人和
喜看江山如画	展望前程似锦
功业长留天地	光辉永照人间
欢炮声声报喜	红联时时迎春
春暖风和日丽	年丰物阜民欢
新岁新光新景	春风春雨春花
春种千山绿玉	秋收万顷黄金
一院芝兰瑞气	万家杨柳春风
春日人人共乐	江山处处皆春
山碧千峰竞秀	水清百鸟争春
政清星辰放彩	国富日月生辉
虎跃龙骧鹏举	花明柳暗春浓
四季时时胜意	千家事事舒心
大业千帆竞发	明春万象更新
国肇繁荣昌盛	民欣长治久安
共喜阳回大地	同歌春到人间
岁岁风调雨顺	年年物阜民康
劳动创造世界	春天属于人民
大地风光旖旎	神州人物轩昂
铁石梅花气概	山川香草风流
碧海苍山玉宇	春风丽日神州
百花迎春斗艳	群英为国争光
妙手描山绣水	雄心强国富民
细雨无声润物	和风会意迎春
冬尽梅花点点	春回爆竹声声
梅蕊乐开五福	竹风喜报三多
盛世千秋伟业	神州万里春风
笑语欢歌辞旧	华灯爆竹迎新
守法奉公遵纪	尊长爱幼敬贤
芳草满园吐秀	群英遍地生辉
荡荡乾坤不老	昭昭日月生辉
春驻笔花万朵	云描淑景千番
处处春光济美	年年人物风流
春自寒梅报到	年从瑞雪迎来
一刻莫闲岁月	十分珍重年华
雪映一天春碧	云浮四海清晖
万众共迎旭日	九州同庆新春
东风入春化雨	汗水落地生金
桃符春花瑞雪	奋燕布谷春风
望烛挑灯思友	浓意淡茶迎宾
田野风光真好	农家岁月更新
一元二气三阳泰	四时五福六合春
春雨多情醉大地	爆竹知音绽心花
春风放胆采梳柳	夜雨瞒人去润花
春光明媚百花地	祖国富强一统天
全民共饮新春酒	举国同迎大治年
柳眼桃腮舒化日	莺歌燕舞闹春风
日丽神州舞彩凤	霞临华夏飞巨龙
东风送暖千丛绿	旭日光耀万户春
松竹梅岁寒三友	桃李杏春风一家
人逢盛世居栖稳	运际阳春气象新
鸟语花香歌丽日	民康物阜乐尧天
春深碧海腾龙甲	花满瑶池飞风羽
东风已绿南国草	春信才开北岭海
三阳开泰生机发	九天增辉喜气扬
六出飞花千亩喜	一声爆竹万家春
满园桃李争春艳	遍山松柏耐岁寒
玉树暖迎沧海日	珠帘光动锦城春
丽日晴天凭风舞	华年盛世任龙飞
忠厚一生嫌善少	平安二字值钱多
天增岁月人增寿	春满乾坤福满门
青山林茂千重翠	碧野粮丰万簇金
梅红塞北满天彩	柳绿江南遍地春
大地复苏春似锦	人心振奋气如虹
万象更新春光好	一看巨变喜事多
春到千家同致富	福临万户共迎祥
时雨点红桃千树	春风吹绿柳万枝
鹊送喜报风送爽	莺传佳音梅传春
柳绿桃红春万里	天蓝莺丽日长天
枝头喜鹊唱新曲	雪里梅花报早春
花红柳绿千山秀	日暖风和万民欢
年丰人寿福如海	柳暗花明春似潮
花灯灿烂逢盛世	锣鼓喧天颂华年
腊梅吐芳迎红日	绿柳展枝舞春风
美酒千盅辞旧岁	梅花万树迎新春
祖国有天皆丽日	神州无处不春风
楼外春阳鸠唤雨	庭前日暖蝶翻风
花承朝露千葩发	莺感春风百啭鸣
兴邦有策苍生福	报国无私赤子心
文明雨润千枝翠	礼貌风吹万朵红
春花消息寒梅报	芳草萌芽细雨催
风吹杨柳千门绿	雨滋桃杏万户红
天将化日舒清气	室有春风聚太和
同歌华夏兴邦曲	共赋神州治国诗
风和日丽花争笑	水绿山青鸟竞歌
千秋伟业同心铸	四化宏图众手成
庭中有竹春常在	天上无云月更圆
一家欢笑春风暖	四季平安淑景新
红杏枝头春意闹	绿杨烟外晓寒轻
梅带寒香成隔发	酒称腊味入新年
除夕刚饮祝捷酒	新年又看报春花
彩笔传情歌盛世	丹霞达意喧廉风
五福十福全家福	千春万春满堂春
春风掩映千门柳	碧间萦回十里花
万里和风生柳叶	一枝春雪映梅花
日丽风和春浩荡	花香鸟语物昭苏
门对青山财源广	户迎绿水富根深
竹叶金樽辞旧岁	梅花瑞雪报丰年
桃李逢时天下春	芝兰得气一庭秀
染庭碧草来春色	入户清风送好音
兴国气势连天涌	富民潮头逐浪高
春露含嫣泛紫气	野花吐馨迎朝阳
