天 地
雨 风
大陆 长空
山花 海树
赤日 苍穹
雷隐隐 雾濛濛
日下 天中
风高秋月白 雨霁晚霞红
牛女二星河左右 参商两曜斗西东
十月塞边，飒飒寒霜惊戍旅 三东江上，漫漫朔雪冷渔翁
河 汉　绿 红
雨伯 雷公
烟楼 雪洞
月殿 天宫
云叆叇 日曈曚
蜡屐 渔蓬
过天星似箭 吐魄月如弓
驿旅客逢梅子雨 池亭人挹藕花风
茅店村前，皓月坠林鸡唱韵 板桥路上，青霜锁道马行踪
山 海
华 嵩
四岳 三公
宫花 禁柳
塞雁 江龙
清暑殿 广寒宫
拾翠 题红
庄周梦化蝶 吕望兆飞熊
北牖当风停夏扇 南檐曝日省冬烘
鹤舞楼头，玉笛弄残红子月 凤翔台上，紫箫吹断美人风
晨 午
夏 冬
下饷 高舂
青春 白昼
古柏 苍松
垂钓客 荷锄翁
仙鹤 神龙
凤冠球闪烁 螭带玉玲珑
三元及第才千顷 一品当朝禄万钟
花萼楼间，仙李盘根调国派 沉香亭畔，娇杨擅宠起边风
清 淡
薄 浓
暮鼓 晨钟
山茶 石菊
烟锁 云封
金菡萏 玉芙蓉
绿绮 青锋
早汤先宿酒 晚食继朝饔
唐库金钱能化蝶 延津宝剑会成龙
巫峡浪传，云雨荒唐神女庙 岱宗遥望，儿孙罗列丈人峰
简 繁
叠 重
意懒 心慵
仙翁 释伴
道范 儒宗
花灼灼 草茸茸
浪蝶 狂蜂
数竿君子竹 五数大夫松
高皇灭项凭三杰 虞帝承尧殛四凶
内苑佳人，满地春光愁不尽 边关过客，连天烟草憾无穷
奇 偶
只 双
大海 长江
金盘 玉盏
宝烛 银缸
朱漆槛 碧纱窗
舞调 歌腔
兴汉推马武 谏夏著龙逄
四收列国群王伏 三筑高城众敌降
跨凤登台，潇洒仙姬秦弄玉 斩蛇当道，英雄天子汉刘邦
颜 貌
像 厐
龙辇 徒杠
停针 搁竺
意懒 心降
灯闪闪 月幢幢
揽辔 飞舱
柳堤驰骏马 花苑吠村尨
酒量微酬琼香颊 香尘没印玉莲跄
诗写丹枫，韩文幽杯流节水 泪弹斑竹，舜妃遗憾积湘江
泉 石
干 枝
吹竹 弹丝
山亭 水榭
鹦鹉 鸬鹚
五色笔 十香词
泼墨 传卮
神奇韩干画 雄浑李陵诗
几处花街新夺锦 有人香径淡凝脂
万里烽烟，战士边头争保塞 一犁膏雨，农夫村外尽乘时
菹 醢
赋 诗
点漆 描脂
璠簪 朱履
剑客 琴师
沽酒价 买山资
国色 仙姿
晚霞明似锦 春雨细如丝
柳绊长堤千万树 花横野寺两三枝
紫盖黄旗，天象预占江左地 青袍白马，童谣终应寿阳儿
箴 赞
缶 卮
莹照 蚕丝
轻裾 长袖
瑞草 灵芝
流涕册 断肠诗
喉舌 腰肢
云中熊虎将 天上凤凰儿
禹庙千年垂橘柚 尧阶三尺覆茅茨
湘竹含烟，腰下轻纱笼玳瑁 海棠经雨，脸边清泪湿胭脂
争 让
望 思
野葛 山栀
仙风 道骨
天造 人为
专诸剑 博浪椎
经纬 干支
位尊民物主 德重帝王师
望切不妨人去远 心忙无奈马行迟
金屋闭来，赋乞茂林提柱笔 玉楼成后，记须昌谷负囊词
贤 圣
是 非
觉奥 参微
鱼书 雁字
草舍 柴扉
鸡晓唱 雉朝飞
红瘦 绿肥
举杯邀月饮 骑马踏花归
黄盖能成赤壁捷 陈平善解白登危
太白书堂，瀑泉垂地三千丈 孔明祀庙，老柏参天四十围
戈 甲
幄 帷
荡荡 巍巍
严滩 邵圃
靖菊 夷薇
占鸿渐 彩凤飞
虎榜 龙旂
心中罗锦绣 口内吐珠玑
宽洪豁达高皇量 叱咤喑哑霸王威
灭项兴刘，狡兔尽时走狗死 连吴拒魏，貔貅屯处卧龙归
衰 盛
密 稀
禁服 朝衣
鸡窗 雁塔
秋榜 春闱
务衣巷 燕子矶
久别 初归
天姿真窈窕 圣德实光辉
蟠桃紫阙来金母 岭荔红尘进玉妃
霸王军营，亚父丹心撞玉斗 长安酒市，洞仙狂兴换银龟
羹 饭
柳 榆
短笛 长裾
鸡冠 凤尾
芍药 芙蕖
周有若 汉相如
王屋 匡庐
月明山寺远 风细水亭虚
壮士腰间三尺剑 男儿腹内五车书
疏影暗香，和靖孤山梅蕊放 轻阴清昼，渊明旧宅柳条舒
吾 汝
尔 余
先授 升除
书箱 药柜
耒耜 耰锄
参与鲁 回不愚
阀阅 阎闾
诸侯千乘国 命妇七香车
穿云採药闻仙人 踏雪寻梅策蹇驴
玉兔金乌，二气精灵为日月 洛龟河马，五行生剋在图书
欹 正
密 疏
囊櫜 苞苴
罗浮 壶峤
水曲 山迂
骖鹤架 待鸾车
桀溺 长沮
搏虎卞庄子 当熊冯婕妤
南阳高士吟梁父 西蜀人才赋子虚
三径风光，白石黄花供杖履 五湖烟景，青山绿水在樵渔
红 白
有 无
布谷 提壶
毛锥 羽扇
天阙 皇都
谢蝴蝶 郑鹧鸪
蹈海 归湖
花肥春雨润 竹瘦晚风疏
麦饭豆糜终创汉 莼羹鲈脍竟归吴
琴调轻弹，杨柳月中潜去听 酒旗斜挂，杏花村里共来沽
罗 绮
茗 蔬
柏秀 松枯
中元 上已
返璧 还珠
云梦泽 洞庭湖
玉烛 冰壶
苍头犀角带 绿鬓象牙梳
松阴白鹤声相应 镜里青鸾影不孤
竹户半开，对牖不知人在否 柴门深闭，停居还有客来无
宾 主
婢 奴
宝鸭 金凫
升堂 入室
鼓室 投壶
觇合璧 颂联珠
提瓮 当垆
仰高红日近 望远白云孤
歆向秘书窥二酉 机云芳誉动三吴
祖饯三杯，老去常斟花下酒 荒田五亩，归来独荷月中锄
君 父
魏 吴
北岳 西湖
菜蔬 茶淡
苣藤 菖蒲
梅花数 竹叶符
廷议 山呼
两都班固赋 八阵孔明图
田庆紫荆堂下茂 王裒青柏墓前枯
出塞中郎，羝有乳时归汉室 质秦太子，马生角日返燕都
鸾 凤
犬 鸡
塞北 关西
长生 益智
老幼 旄婗
颁竹策 剪桐圭
剥枣 蒸梨
绵腰如弱柳 嫩手似柔荑
狡兔能穿三穴隐 鹪鹊权借一枝栖
甪里先生，策杖垂绅扶少主 于陵仲子，辟纑织履赖贤妻
鸣 吠
泛 栖
燕语 莺啼
珊瑚 玛瑙
琥珀 玻璃
