无奈荔支何，前度来迟今又早	相思桃叶杳，主人已去客犹留
王者五百年，湖山具有英雄气	春光二三月，莺花合是美人魂
人言为信，我始欲愁，子细思量，风吹绉一池春水	胜固欣然，败亦可喜，如何结局，浪淘尽千古英雄
吾道南来，的是濂溪正派	大江东去，无非湘水余波
栋梁萃杞梓楩楠，带来衡岳春云，荫留吴地	支派溯沅湘资澧，分得洞庭秋月，照澈秦淮
迢遥长路三千，我原过客	管领重湖八百，君亦书生
千载此楼，芳草晴川，曾见仙人骑鹤去	卅年作客，黄沙远塞，又吟乡思落梅中
麓山之巅，湘水之滨，携剑倚苍茫，数前朝梅将功名，蒋侯威望	武昌以西，汉阳以北，凭栏瞰风物，想故国定王台榭，贾傅祠堂
侯不得友，王不得臣，自是神仙人物	隐不违亲，贞不绝俗，合称有道先生
百世之师，匹未有志公可法	三书犹在，宰相无名鬼不灵
平生最爱说东坡，日啖荔支三百颗	天下几人学杜甫，安得广厦千万间
钓竿欲拂珊瑚树	海燕双栖玳瑁梁
华岳三峰当槛立	黄河九曲抱城来
未许田文轻策马	愿逢老子再骑牛
有史公作传如生。爱客若君，真令读者慷慨悲歌不已	其门馆流风未谢，于今视昔，问谁能拔抑塞磊落之才
名冠诸侯，自古贤无有及公子者	仁而下士，乃间步往从此两人游
十年宦比梅花冷	一夜春随爆竹来
北起荆山，南包衡岳，中更九江合流，形胜称雄，楚尾吴头一都会	内修吏治，外肄戎兵，旁兼四裔交涉，师资不远，林前胡后两文忠
巍巍肝胆女儿，有志复仇能动石	衮衮须眉男子，无人倡义敢排金
封万户侯何足荣身，公若事汉天子比肩，李广欢颜亚夫笑	挽百石弓犹能识字，我曾见故将军遗笔，岳王风骨鲁公神
听一百八杵钟声，敲断往来尘客梦	倒三十六湖秋水，洗将清白女儿身
象以虚成，有几多幻影浮烟，好向虚中求实	味于苦出，看千古忠臣孝子，都从苦里回甘
造物董生成，须知雷霆雨露无非教	畏威只愚下，犹当戒慎恐惧所不闻
俾人间薪突无忧，巍巍成功，于国为捍大灾，御大患	与天下文明应象，赫赫专祀，愿神永光此土，牗此民
取数于九	此山犹龙
铜琶铁板，大江东去	月明星稀，乌鹊南飞
百里古公侯，万人托命	一官民父母，四境为家
太华立云端，对此千寻，情深仰止	大河来天上，到兹一曲，广纳群流
九十二株柳为幕	一百八声钟到门
藉汗马闲身以建此堂，输入九澧文明，于无事时作事	本睢麟精意而示之学，风行二南女子，庶有家者宜家
民国维新，女校与维新，千载一时，为九澧好河山，特创乡土未有之局	兰台不朽，大家亦不朽，参天两地，看历朝贤闺阁，宁让男儿独成其名
大湖东西，澧浦与岳阳对峙	小范忧乐，英雄要儿女平分
平分澧浦兰荃秀	近忆诗人水竹居
自生民以来逮于我	立天下之大视此亭
沧海为桑田	亭皋下木叶
沧溟一波，俨掀天揭地	亭毒万汇，要见性明心
大江流日夜	西北有高楼
一月二十九日醉	百年三万六千场
有美一人，中夜开五铢环珮	遗世独立，下游俯两点金焦
小子听之，濯足濯缨皆自取	先生醉矣，一丘一壑自陶然
在山本清，泉自源头冷起	入世皆幻，峰从天外飞来
万山不隔中秋月	千年复见黄河清
空潭泻春，若其天放	明漪绝底，饮之太和
八月槎横天上水	连畦菜长故园春
地有百区皆近水	室无一面不当山
瓯浙越梅循，海国仍持使者节	陇秦指疏勒，榕垣还作故乡看
百二关河，十年征戍	八千子弟，九塞声名
刻铭天山石	喜作巴人谈
同科十进士	庆榜三名元
荆衡秀气	邹鲁遗风
绎志多忘嗟老大	读书有味且从容
经始问何年，果然逃墨归儒，天使梵王纳士	筹边曾此地，大好修文偃武，我从漳海班师
