一上高楼，缅当年江汉风流，多少千秋人物	双持使节，喜此日荆衡形势，纵横万里金汤
一丘藏曲折	半亩壮园亭
一乡善人，勖哉一弟分忧，一孤在抱	两行老泪，痛此两年盛会，两世交期
一、二、三、四、五、六、七	孝、弟、忠、信、礼、义、廉
一亭俯流水	万竹引清风
一亭尽揽山中趣	幽室能观世外天
一亭雄楚望	百里见潇湘
一人知己亦已足	比生自修无尽朋
一人知己亦已足	毕生自修无尽期
一代两文忠，到处风流标胜迹	三贤同俎豆，何人尚友似先生
一代传人，郑虔三绝	十年循吏，杨震四知
一代兴亡关气数	千秋庙貌傍江山
一代典章垂涣汗	万年法守仰都俞
一代奇书镜花录	千秋名士杜林胡
一代翰林风月手	六朝兰锜谢王家
一切有为法，如梦如幻如泡影如露珠，作如是观，法尚应舍，何况非法	三昧诸相身，无人无我无众生无寿者，此何以故，身皆具足，乃大名身
一卧沧江惊岁晚	独凭栏槛俯崔巍
一卷刻成名士集	十年费尽美人心
一县好山留客住	五溪秋水为君清
一双探花父	两个状元儿
一叶不随流水去	片云常共老僧闲
一味黑时犹有骨	十分红处便成灰
一品头衔让南石	三声肠断失西墉
一品承恩，魂魄长依华屋	九重念旧，馨香宜彻幽泉
一品荷崇封，北斗尚书徵燕翼	八旬尊上寿，西方生佛想螺容
一品荷殊荣，文望官声，端谨咸钦臣节粹	千秋逢异数，崇衔美諡，幽冥应感圣恩深
一堕风尘，天上玉堂如昨日	谁同舟楫，眼前沧海正横流
一塔远出树	众山青到门
一夜秋风狂摧祖竹	三更凉露泪洒孙兰
一大乔，二小乔，三寸金莲四寸腰，五匣六盒七彩纷，八分九分十信娇	十九月，八分圆，七个进士六个还，五更四鼓三声向，二乔小乔一人娶
一太极图开道统	两程夫子出门墙
一夫当关，万夫顿辔	五里为堠，十里置亭
一失脚成千古笑	再回头是百年人
一妻十七妾	百子半千孙
一字一音，求合于古	万首万遍，均和其声
一室图书自清洁	百家文史足风流
一家喜气如春酿	小筑幽栖与拙宜
